area_code,area_name,date,cum_cases
Unconfirmed,Unconfirmed,2020-03-09,26
E06000001,Hartlepool,2020-03-09,0
E06000002,Middlesbrough,2020-03-09,0
E06000003,Redcar and Cleveland,2020-03-09,0
E06000004,Stockton-on-Tees,2020-03-09,0
E06000005,Darlington,2020-03-09,0
E06000006,Halton,2020-03-09,0
E06000007,Warrington,2020-03-09,0
E06000008,Blackburn with Darwen,2020-03-09,0
E06000009,Blackpool,2020-03-09,0
E06000010,"Kingston upon Hull, City of",2020-03-09,1
E06000011,East Riding of Yorkshire,2020-03-09,0
E06000012,North East Lincolnshire,2020-03-09,0
E06000013,North Lincolnshire,2020-03-09,0
E06000014,York,2020-03-09,3
E06000015,Derby,2020-03-09,0
E06000016,Leicester,2020-03-09,0
E06000017,Rutland,2020-03-09,0
E06000018,Nottingham,2020-03-09,2
E06000019,"Herefordshire, County of",2020-03-09,0
E06000020,Telford and Wrekin,2020-03-09,0
E06000021,Stoke-on-Trent,2020-03-09,0
E06000022,Bath and North East Somerset,2020-03-09,0
E06000023,"Bristol, City of",2020-03-09,2
E06000024,North Somerset,2020-03-09,1
E06000025,South Gloucestershire,2020-03-09,0
E06000026,Plymouth,2020-03-09,0
E06000027,Torbay,2020-03-09,7
E06000030,Swindon,2020-03-09,2
E06000031,Peterborough,2020-03-09,1
E06000032,Luton,2020-03-09,2
E06000033,Southend-on-Sea,2020-03-09,1
E06000034,Thurrock,2020-03-09,0
E06000035,Medway,2020-03-09,2
E06000036,Bracknell Forest,2020-03-09,2
E06000037,West Berkshire,2020-03-09,0
E06000038,Reading,2020-03-09,0
E06000039,Slough,2020-03-09,0
E06000040,Windsor and Maidenhead,2020-03-09,0
E06000041,Wokingham,2020-03-09,3
E06000042,Milton Keynes,2020-03-09,1
E06000043,Brighton and Hove,2020-03-09,8
E06000044,Portsmouth,2020-03-09,0
E06000045,Southampton,2020-03-09,0
E06000046,Isle of Wight,2020-03-09,1
E06000047,County Durham,2020-03-09,0
E06000049,Cheshire East,2020-03-09,0
E06000050,Cheshire West and Chester,2020-03-09,0
E06000051,Shropshire,2020-03-09,0
E06000052,Cornwall and Isles of Scilly,2020-03-09,4
E06000054,Wiltshire,2020-03-09,3
E06000055,Bedford,2020-03-09,0
E06000056,Central Bedfordshire,2020-03-09,0
E06000057,Northumberland,2020-03-09,0
E06000058,"Bournemouth, Christchurch and Poole",2020-03-09,2
E06000059,Dorset,2020-03-09,0
E08000001,Bolton,2020-03-09,3
E08000002,Bury,2020-03-09,3
E08000003,Manchester,2020-03-09,5
E08000004,Oldham,2020-03-09,4
E08000005,Rochdale,2020-03-09,0
E08000006,Salford,2020-03-09,0
E08000007,Stockport,2020-03-09,0
E08000008,Tameside,2020-03-09,1
E08000009,Trafford,2020-03-09,4
E08000010,Wigan,2020-03-09,3
E08000011,Knowsley,2020-03-09,0
E08000012,Liverpool,2020-03-09,5
E08000013,St. Helens,2020-03-09,0
E08000014,Sefton,2020-03-09,0
E08000015,Wirral,2020-03-09,1
E08000016,Barnsley,2020-03-09,2
E08000017,Doncaster,2020-03-09,0
E08000018,Rotherham,2020-03-09,0
E08000019,Sheffield,2020-03-09,0
E08000021,Newcastle upon Tyne,2020-03-09,4
E08000022,North Tyneside,2020-03-09,1
E08000023,South Tyneside,2020-03-09,0
E08000024,Sunderland,2020-03-09,1
E08000025,Birmingham,2020-03-09,1
E08000026,Coventry,2020-03-09,2
E08000027,Dudley,2020-03-09,1
E08000028,Sandwell,2020-03-09,0
E08000029,Solihull,2020-03-09,0
E08000030,Walsall,2020-03-09,0
E08000031,Wolverhampton,2020-03-09,2
E08000032,Bradford,2020-03-09,1
E08000033,Calderdale,2020-03-09,0
E08000034,Kirklees,2020-03-09,0
E08000035,Leeds,2020-03-09,5
E08000036,Wakefield,2020-03-09,0
E08000037,Gateshead,2020-03-09,0
E09000002,Barking and Dagenham,2020-03-09,0
E09000003,Barnet,2020-03-09,5
E09000004,Bexley,2020-03-09,0
E09000005,Brent,2020-03-09,3
E09000006,Bromley,2020-03-09,1
E09000007,Camden,2020-03-09,4
E09000008,Croydon,2020-03-09,0
E09000009,Ealing,2020-03-09,5
E09000010,Enfield,2020-03-09,1
E09000011,Greenwich,2020-03-09,0
E09000012,Hackney and City of London,2020-03-09,2
E09000013,Hammersmith and Fulham,2020-03-09,2
E09000014,Haringey,2020-03-09,0
